FechaExtraccion,Año,PC,Cat,TipDia,ValMop,Hinicio,Hfin,Tarifa_Inf,Tarifa_Inicial,Tarifa_Periodo,Conces,Sentido
2023-11-06T16:16:37.76Z,2018,0004,4,0002,229.18,140000,185959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,1,0002,458.35,190000,215959,,TBP,TBP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,2,0002,916.71,190000,215959,,TBP,TBP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,3,0002,1375.06,190000,215959,,TBP,TBP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,4,0002,458.35,190000,215959,,TBP,TBP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,1,0002,229.18,220000,235959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,2,0002,458.35,220000,235959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,3,0002,687.53,220000,235959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,4,0002,229.18,220000,235959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,1,0004,229.18,000000,105959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,2,0004,458.35,000000,105959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,3,0004,687.53,000000,105959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,4,0004,229.18,000000,105959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,1,0004,458.35,110000,135959,,TBP,TBP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,2,0004,916.71,110000,135959,,TBP,TBP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,3,0004,1375.06,110000,135959,,TBP,TBP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,4,0004,458.35,110000,135959,,TBP,TBP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,1,0004,229.18,140000,185959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,2,0004,458.35,140000,185959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,3,0004,687.53,140000,185959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,4,0004,229.18,140000,185959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,1,0004,458.35,190000,215959,,TBP,TBP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,2,0004,916.71,190000,215959,,TBP,TBP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,3,0004,1375.06,190000,215959,,TBP,TBP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,4,0004,458.35,190000,215959,,TBP,TBP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,1,0004,229.18,220000,235959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2016,P3,3,0001,1552.98,073000,082959,,,TS,CN,S
2023-11-06T16:16:37.76Z,2016,P3,4,0001,517.66,073000,082959,,,TS,CN,S
2023-11-06T16:16:37.76Z,2016,P3,1,0001,340.34,083000,095959,,,TBP,CN,S
2023-11-06T16:16:37.76Z,2016,P3,2,0001,680.68,083000,095959,,,TBP,CN,S
